Show Date	Artist	Playlist Title	Playlist URL	Video Count	Setlist URL Checked	Setlist Order Used	Videos Added
2026-02-19	Mohini Dey	Mohini Dey LIVE @ Birchmere (VA) 2/19/26	[dry run — no playlist created]	4	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html	ok (5 songs)	Mohini Dey LIVE - Introverted Soul (bootleg) | Mohini Dey LIVE - Meat Eater (bootleg) | Mohini Dey LIVE - Coloured Goddess? (bootleg) | Mohini Dey LIVE - absolutely EPIC solo (bootleg)
2026-02-21	Matteo Mancuso	Matteo Mancuso LIVE @ Hamilton Live (DC) 2/21/26	[dry run — no playlist created]	5	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html	ok (13 songs)	Matteo Mancuso LIVE - Solar Wind (bootleg) | Matteo Mancuso LIVE - Cause We've Ended as Lovers (bootleg) | Matteo Mancuso LIVE - Black Centurion? (bootleg) | Matteo Mancuso LIVE - Drop D (bootleg) | Matteo Mancuso LIVE - ?? Unknown ??  (bootleg)
2026-02-23	Billy Gibbons	Billy Gibbons LIVE @ Birchmere (VA) 2/23/26	[dry run — no playlist created]	8	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html	ok (20 songs)	Billy Gibbons and the BFG's LIVE - Francine (bootleg) | Billy Gibbons and The BFG’s LIVE - Jesus Just Left Chicago (bootleg) | Billy Gibbons and The BFG’s LIVE - Cheap Sunglasses (bootleg) | Billy Gibbons and The BFG’s LIVE - Got Love If You Want It (bootleg) | Billy Gibbons and The BFG’s LIVE - Blue Jean Blues (bootleg) | Billy Gibbons and The BFG’s LIVE - Foxy Lady (bootleg) | Billy Gibbons and The BFG’s LIVE - Brown Sugar (bootleg) | Billy Gibbons and The BFG’s LIVE - Sharp Dressed Man  (bootleg)
2026-03-21	ZZ Ward	ZZ Ward LIVE @ Birchmere (VA) 3/21/26	[dry run — no playlist created]	10	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html	ok (21 songs)	ZZ Ward LIVE - Dust My Broom (bootleg) | ZZ Ward LIVE - Cannonball (bootleg) | ZZ Ward LIVE - Bag of Bones (bootleg) | ZZ Ward LIVE - Charlie Ain't Home (bootleg) | ZZ Ward LIVE - Grinnin' In Your Face (bootleg) | ZZ Ward LIVE - Sinner's Prayer (bootleg) | ZZ Ward LIVE - Sex & Stardust (bootleg) | ZZ Ward LIVE - Ride (bootleg) | ZZ Ward LIVE - Move Like U Stole It (bootleg) | Jesse Williams Band LIVE - Quit Quiet (bootleg)
2026-02-19	Mohini Dey	Mohini Dey LIVE @ Birchmere (VA) 2/19/26	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrBfrFMqc2hflHRYxRUeEr	4	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html	ok (5 songs)	Mohini Dey LIVE - Introverted Soul (bootleg) | Mohini Dey LIVE - Meat Eater (bootleg) | Mohini Dey LIVE - Coloured Goddess? (bootleg) | Mohini Dey LIVE - absolutely EPIC solo (bootleg)
2026-02-21	Matteo Mancuso	Matteo Mancuso LIVE @ Hamilton Live (DC) 2/21/26	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOY4QvTfNsXWVLCZ2_T4xt	5	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html	ok (13 songs)	Matteo Mancuso LIVE - Solar Wind (bootleg) | Matteo Mancuso LIVE - Cause We've Ended as Lovers (bootleg) | Matteo Mancuso LIVE - Black Centurion? (bootleg) | Matteo Mancuso LIVE - Drop D (bootleg) | Matteo Mancuso LIVE - ?? Unknown ??  (bootleg)
