title	url
Trombone Shorty & Orleans Avenue LIVE @ Hollywood Casino (WV) 3/2/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-rUROrCAFQXyv12XRnypG
Enter the Haggis LIVE @ Hamilton Live (DC) 3/9/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI_QSHgfR5JfwJeRyIDl6IW
Rhiannon Giddens LIVE @ Music Center at Strathmore (MD) 3/18/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIXXPiJ7EZzNXDfS4lMfgqx
Jon Batiste LIVE @ Warner Theatre (DC) 3/21/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJuLiT_KdGO02wIRGYMWAHv
New York's Finest (Police tribute) LIVE @ Collective Encore (MD) 3/30/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKV8dmIhHhH3LRq66gSB9CT
Shovels & Rope LIVE @ Ram's Head (MD) 4/10/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIFGFSF-fLwVbEHvIR9g-pK
Danielle Nicole LIVE @ Hamilton Live 4/12/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKgj5HWpltrn_C4Bgtfs68V
Judith Hill LIVE @ Fillmore Silver Spring 4/13/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJwry23WeMLXFu7YQGlpZ4X
JJ Grey & Mofro LIVE @ Fillmore Silver Spring (MD) 4/13/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJLdAoc6LBtfOH4gjwK-4l9
Vanessa Collier LIVE @ Collective Encore (MD) 4/19/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLrF2n1H6TcKZBHpmBGM-WS
Joanne Shaw Taylor LIVE @ Maryland Theatre (MD) 4/26/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLdfcbKWoSJvtjjp2oe9VlD
Sonny Landreth & The Iguanas LIVE @ Hamilton Live (DC) 5/16/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJlmjVUQxN4GKBngP4katI3
Oh He Dead & The North Country LIVE @ 9:30 Club 5/15/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLHAeFlPXKijx2VHSF1TeDy
Jackie Venson LIVE @ Color Burst Park (MD) 6/6/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJnT3CCr-E4JMjgbYldszpN
John Hiatt LIVE @ Birchmere 6/10/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGISANJyMAJ1gCg8p5oOmiVM
Gary Clark Jr. LIVE @ Wolf Trap (VA) 6/9/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKgXKH8T7GjfJJu0GmHrxb2
