Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2022-01-21	Keb' Mo'		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/keb-mo/2022/the-birchmere-alexandria-va-23a7300f.html		No match		
2022-02-18	Tedeschi Trucks Band		Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/tedeschi-trucks-band/2022/warner-theatre-washington-dc-538877c1.html		No match		
2022-02-27	Lyle Lovett		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/lyle-lovett/2022/the-birchmere-alexandria-va-5389afd5.html		No match		
2022-04-26	Daniel Donato		Jammin Java, Vienna, VA, USA	https://www.setlist.fm/setlist/daniel-donato/2022/jammin-java-vienna-va-23a730c3.html	https://youtu.be/BDbec21SNmw	1 video(s) found	Daniel Donato  & Cosmic Country - Dig a Hole in the Meadow (bootleg)	
2022-07-16	Daniel Donato		Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/daniel-donato/2022/pearl-street-warehouse-washington-dc-53b29329.html		No match		
2022-08-16	Roger Waters		Capital One Arena, Washington, DC, USA	https://www.setlist.fm/setlist/roger-waters/2022/capital-one-arena-washington-dc-43b3e31f.html		No match		
2022-09-17	Willie Nelson	The Avett Brothers / Zach Bryan / Larkin Poe / Brittney Spencer	Outlaw Music Festival 2022	https://www.setlist.fm/setlist/willie-nelson/2022/merriweather-post-pavilion-columbia-md-4bb00396.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK8pLI8VJvEhecS93sNR2Ha	Playlist (assembled)	Larkin Poe - I hope you feel stupid (end of Wanted Woman) bootleg | Larkin Poe - Self-Made Man (bootleg, partial) | Larkin Poe - Come on in my Kitchen (bootleg)	Primarily there for Larkin Poe — shot their full set at Outlaw Music Festival, including their set closer Come on in my Kitchen (Robert Johnson cover).
2022-10-22	ZZ Top	Austin Meade	The Theater at MGM National Harbor, National Harbor, MD, USA	https://www.setlist.fm/setlist/zz-top/2022/the-theater-at-mgm-national-harbor-national-harbor-md-3beb9eb.html		No match		Seated last row — too far; no usable video footage. Great schtick, but they miss Dusty a ton
2022-10-24	Violent Femmes	Alsarah & the Nubatones	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/violent-femmes/2022/930-club-washington-dc-3bea1b7.html		No match		
2022-10-27	Enter the Haggis		City Winery, Washington, DC, USA	https://www.setlist.fm/setlist/enter-the-haggis/2022/city-winery-washington-dc-2ba7309e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLVO3CKo8c2CfC9_J3M56HR	4 video(s) found	Enter the Haggis - Shangri-La (clip - bootleg) | Enter the Haggis - Dryden Mine (clip - bootleg) | Enter the Haggis - Letters (bootleg) | Enter the Haggis - Salvation (bootleg)	City Winery DC. Shot several tracks including Shangri-La, Dryden Mine, Letters, and Salvation.
2022-11-17	Tab Benoit	The Dirty Dozen Brass Band / Lightnin' Malcolm	The State Theatre, Falls Church, VA, USA	https://www.setlist.fm/setlist/tab-benoit/2022/the-state-theatre-falls-church-va-5bbfafe0.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLs3ywdllvMHq8-yks2Ge8J	Playlist (assembled)	Tab Benoit - Muddy Bottom Blues (bootleg) | Dirty Dozen Brass Band - Talkin' bout do it (bootleg)	"Tab's birthday show. He came out and said: ""It's my birthday! That means I can play as loud as I want!"" Also caught the Dirty Dozen Brass Band opening set."
2022-11-30	Kate Davis		Songbyrd Music House, Washington, DC, USA	https://www.setlist.fm/setlist/kate-davis/2022/songbyrd-music-house-washington-dc-4ba7334a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLY-DcEWxAOKJUfpnxH0OjA	Playlist (31 videos, combined 3-show playlist)	Kate Davis - dd or ddr (bootleg, unreleased) | Kate Davis - Monster Mash (bootleg, unreleased) | Kate Davis - Long Long Long (bootleg, unreleased) | Kate Davis - Consequences (bootleg) | Kate Davis - Fish Bowl (bootleg) | Kate Davis - Why Do You Lie (bootleg) | Kate Davis - Over You (bootleg) | Kate Davis - Just Like Heaven (bootleg)	Kate played several unreleased tracks from the then-forthcoming Fish Bowl album, available at the time only for pre-order on Bandcamp.
2022-12-14	Ana Popović	Carly Harvey	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/ana-popovi/2022/pearl-street-warehouse-washington-dc-bbc9dae.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL4a-pQWYM0DD2wgLTnXSQh	Playlist (assembled)	"Ana Popović - Hot Southern Night (bootleg) | Ana Popović - Mo' Better Love (bootleg) | Ana Popović ""Till the Wheels Fall Off"" - bootleg | Ana Popović - Better Be Good  (bootleg) | Ana Popović - Jelly Roll Blues (bootleg) | Ana Popović - Hwy 49 (bootleg) | Ana Popović - When I'm Done (bootleg) | Ana Popović - Southern Man (bootleg)"	Band included Buthel Burns (bass), Cedric Goodman (drums), Brad Walker (saxophone), Jon Ramm-Gramenz (trumpet).
