Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2025-01-10	The Young Dubliners	La Unica	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/the-young-dubliners/2025/pearl-street-warehouse-washington-dc-35d89df.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJvW76f6a0oz1P_p7lysy58	Playlist (11 videos)	Young Dubliners LIVE @ Pearl Street Warehouse 1/10/25	The Feicin' Freezin' Tour. Shot from the balcony. La Unica opened and also covered the Pogues (If I Should Fall From Grace With God) alongside Young Dubliners in a collaborative moment.
2025-01-22	Langhorne Slim	Oliver Wood	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/langhorne-slim/2025/the-birchmere-alexandria-va-4b5d7f26.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLnz-M5qfqM8y207uAcVXgf	Playlist (12 videos)	Langhorne Slim & Oliver Wood LIVE @ Birchmere 1/22/25	Tour kickoff. First set was Oliver Wood solo, second set was Langhorne Slim solo, then they played together to finish. Covered Leadbelly (Rock Island Line), Leonard Cohen (Tonight Will Be Fine), and Neil Young (Love is a Rose). There were jacket jokes.
2025-01-24	New York's Finest		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/new-yorks-finest/2025/the-collective-encore-columbia-md-435d635b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL5ue9R0AwEi0lm4oDO9TJz	Playlist (assembled)	New York's Finest (Police Tribute) LIVE - Fortress Around Your Heart (bootleg) | New York's Finest (Police Tribute) LIVE - De Do Do Do, De Da Da Da (bootleg) | New York's Finest (Police Tribute) LIVE - King of Pain (bootleg)	
2025-01-30	Galactic	Jah Works	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/galactic/2025/930-club-washington-dc-435cbf4f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKFLy1E2wNp21OLCSmgS9va	Playlist (7 videos)	Galactic featuring Jelly Joseph LIVE @ 9:30 Club 1/30/25	Galactic featured vocalist Jelly Joseph throughout. Jah Works opened and covered Kyez. Galactic opened with a Professor Longhair cover (Go to the Mardi Gras). Also covered Eugene McDaniels (Compared to What).
2025-01-31	Vanessa Collier		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/vanessa-collier/2025/the-collective-encore-columbia-md-35a8143.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGInas_WA9iBbgWHQnn3BS5b	Playlist (assembled)	Vanessa Collier LIVE - Just One More (bootleg) | Vanessa Collier LIVE - Tongue Tied (bootleg) | Vanessa Collier LIVE - Bloodhound (bootleg)	
2025-02-06	Sue Foley		The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/sue-foley/2025/the-hamilton-live-washington-dc-235ad41f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL99d7kOWzlN98aXDM-qtL4	Playlist (9 videos)	Sue Foley LIVE @ Hamilton Live 2/6/25	
2025-02-07	Yasmin Williams		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/yasmin-williams/2025/the-birchmere-alexandria-va-235a287f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITzWjn5xZ1ipXgr0iHKuRa	Playlist (assembled)	Yasmin Williams LIVE - Cliffwalk (bootleg) | Yasmin Williams LIVE - High Five (bootleg) | Yasmin Williams LIVE - Doc's Guitar (bootleg) | Yasmin Williams LIVE - Untitled djembe (Amadou Kouyate, bootleg)	Amadou Kouyate played untitled djembe as part of the show. Yasmin encored with a Doc Watson cover. Set opener was Cliffwalk. Hat autograph: Yasmin Williams.
2025-02-26	Enter the Haggis		Wolf Trap Farm Park (The Barns), Vienna, VA, USA	https://www.setlist.fm/setlist/enter-the-haggis/2025/wolf-trap-farm-park-the-barns-vienna-va-435b3767.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLMV7me9Pw-EeHdgp_Q4X_y	Playlist (7 videos)	Enter the Haggis LIVE Farewell Tour @ Barns at Wolf Trap 2/26/25	"Farewell Tour ""Exit the Haggis"" at The Barns at Wolf Trap. Acoustic set mid-show. Encore was One Last Drink / Gutter Anthem. Hat autographs: Rose Baldino (of Enter the Haggis); Caroline Browning (of Enter the Haggis)."
2025-02-27	Mike Zito	Kelli Baker Band	Hub City Vinyl, Hagerstown, MD, USA	https://www.setlist.fm/setlist/mike-zito/2025/hub-city-vinyl-hagerstown-md-635b2e13.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI30jX_mObnhmgkIBa2VQ7k	Playlist (8 videos)	Mike Zito LIVE @ Hub City Vinyl (MD) 2/27/25	Hub City Vinyl, Hagerstown MD. Kelli Baker Band opened and supported. Encore was a Muddy Waters cover.
2025-03-13	Daniel Donato		The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/daniel-donato/2025/the-hamilton-live-washington-dc-335be805.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-YlhWCarU9ScFcHae5qtp	Playlist (5 videos)	Daniel Donato's Cosmic Country LIVE @ Hamilton Live (DC) 3/13/25	
2025-03-19	ZZ Ward	Liam St. John	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/zz-ward/2025/the-birchmere-alexandria-va-6358e613.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLurgbIEooTWJbZCnMawdtX	Playlist (13 videos)	ZZ Ward LIVE @ Birchmere 3/19/25	Dirty Sun Tour at the Birchmere. Liam St. John opened and supporting. Shot from a front table.
2025-03-21	Southern Avenue		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/southern-avenue/2025/rams-head-on-stage-annapolis-md-2b582c5e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL4moyHGhpCCs5cK8PhrXt3	Playlist (11 videos)	Southern Avenue LIVE @ Ram's Head (MD) 3/21/25	They had played somewhere in PA at a festival that morning. Shot from the front row at Ram's Head. Hat autographs: Tierinii Jackson (of Southern Avenue); Tikyra Jackson (of Southern Avenue); Ava Jackson (of Southern Avenue).
2025-04-05	Experience Hendrix (Kenny Wayne Shepherd)	"Eric Johnson / Dylan Triplett / Christone ""Kingfish"" Ingram / Ally Venable / Mato Nanji / Devon Allman / Samantha Fish / Zakk Wylde / Henri Brown"	Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/experience-hendrix/2025/warner-theatre-washington-dc-335c2031.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIu1pcW5mvyNq0tY53dizvp	Playlist (13 videos)	Experience Hendrix LIVE @ Warner Theatre (DC) 4/5/25	2nd row stage right at Warner Theatre. Highlights: Eric Johnson and Dylan Triplett (One Rainy Wish), Kingfish and Ally Venable (Killing Floor with Mato Nanji), Zakk Wylde and Henri Brown (All Along the Watchtower), Kingfish and Henri Brown medley (Them Changes / Get Up / We Gotta Live Together).
2025-04-09	Cowboy Junkies		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/cowboy-junkies/2025/the-birchmere-alexandria-va-135a1dfd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIIcC3tkXHchuYr7V_3pV5A	Playlist (9 videos)	Cowboy Junkies LIVE @ Birchmere 4/9/25	40th Anniversary tour at the Birchmere. 2nd row table. They covered Lightnin' Hopkins (Shinin' Moon) and The Velvet Underground (Sweet Jane). Also did The Rake.
2025-04-11	The War and Treaty	Chelsey Green / Tiera Kennedy	The Howard Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/the-war-and-treaty/2025/the-howard-theatre-washington-dc-b59312e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ0oxlwovpXG26gHAMR0ViG	Playlist (6 videos)	The War and Treaty LIVE - ?? Unknown ?? (bootleg) | The War and Treaty LIVE - Proud Mary/Lover's Game (bootleg) | The War and Treaty LIVE - Jeep Cherokee Laredo (bootleg) | The War and Treaty LIVE - Rabbit (bootleg) | The War and Treaty LIVE - Down to the River to Pray (bootleg) | The War and Treaty LIVE - Are You Ready? (bootleg)	Howard Theatre DC. Tiera Kennedy opened and covered Dolly Parton (9 to 5). Michael's keyboard blocked the view for a lot of the early set. Jeep Cherokee Laredo was played by audience request — not on the original set list.
2025-04-18	Valerie June	Jon Muq	Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/valerie-june/2025/rams-head-on-stage-annapolis-md-53594fcd.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL2WeBN9RzkhcyULTgAyY3Z	Playlist (10 videos)	Valerie June LIVE @ Ram's Head (MD) 4/18/25	
2025-04-24	Muireann Bradley		Millennium Stage, Washington, DC, USA	https://www.setlist.fm/setlist/muireann-bradley/2025/millennium-stage-washington-dc-7b46fe18.html	https://www.youtube.com/live/_SN7kNg5Q54	Kennedy Center livestream		Full show on Kennedy Center YouTube channel: https://www.youtube.com/live/_SN7kNg5Q54 Hat autograph: Muireann Bradley.
2025-05-02	Danielle Nicole	Brandon Miller	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/danielle-nicole/2025/pearl-street-warehouse-washington-dc-3b46e4bc.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ-YueR5L4sqdUpas1OW4C9	Playlist (7 videos)	Danielle Nicole Band LIVE @ Pearl Street Warehouse (DC) 5/2/25	
2025-05-03	Allison Russell	Kara Jackson	Lincoln Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/allison-russell/2025/lincoln-theatre-washington-dc-23590433.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLhMNgGJsjknOQBcRTzq_ia	Playlist (10 videos)	Allison Russell LIVE @ Lincoln Theatre (DC) 5/3/25	All Returners Tour. VIP soundcheck included Our Native Daughters cover (Polly Ann's Hammer) and a rehearsal version of Requiem plus a new track (Cold April). Shot from the center rail for the main set. Kara Jackson opened.
2025-05-09	Larkin Poe	Amythyst Kiah	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/larkin-poe/2025/930-club-washington-dc-235c201f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKO3gwaxYzLBTciOMvP5Cyv	Playlist (12 videos)	Larkin Poe LIVE @ 9:30 Club (DC) 5/9/25	Shot from the rail. Amythyst Kiah opened with Black Myself and I Will Not Go Down. Also shot a second-angle clip of She's a Self-Made Man. Hat autographs: Rebecca Lovell (of Larkin Poe); Megan Lovell (of Larkin Poe); Amythyst Kiah (w/Larkin Poe [#36]).
2025-05-11	The Devil Makes Three	Bridge City Sinners	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/the-devil-makes-three/2025/930-club-washington-dc-6b46dae6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLgrKItidPLi5YuYso-4NLY	Playlist (10 videos)	The Devil Makes Three LIVE @ 9:30 Club (DC) 5/11/25	With Lightnin' Luke and Clyde McGee of Bridge City Sinners sitting in throughout. Opened with a Robert Johnson cover (Drunken Hearted Man). Also covered Carter/Cash/Watson/Douglas (What Would You Give in Exchange for Your Soul).
2025-05-14	Ally Venable Band		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/ally-venable-band/2025/rams-head-on-stage-annapolis-md-3b47a818.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7YleAlUlbka340H4j2ZMn	Playlist (6 videos)	Ally Venable LIVE @ Rams Head (MD) 5/14/25	Ram's Head. Opened encore with an instrumental SRV tribute. Also covered James Taylor (Steamroller Blues) and Janet Jackson (Black Cat). Hat autograph: Ally Venable.
2025-06-07	Selwyn Birchwood		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/selwyn-birchwood/2025/rams-head-on-stage-annapolis-md-73474e69.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLMCRmYcXf22agPAwo10Huy	Playlist (assembled)		
2025-06-08	TajMo: The Taj Mahal & Keb' Mo' Band	Abraham Alexander	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/tajmo-the-taj-mahal-and-keb-mo-band/2025/wolf-trap-farm-park-filene-center-vienna-va-6b474e76.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGICE4_wkwYVFlTSv2AUyAJA	Playlist (9 videos)	TajMo LIVE Taj Mahal and Keb Mo @ Wolf Trap 6/8/25	Shot from 3rd row at Wolf Trap. Abraham Alexander opened. Covered Jimmy Cox (Nobody Knows You When You're Down and Out) and Jontavious Willis (Shake Me in Your Arms Tonight).
2025-06-10	Suzanne Vega		Lincoln Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/suzanne-vega/2025/lincoln-theatre-washington-dc-5347af39.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5nb1sCthFnLvqdYbJI_tD	Playlist (6 videos)	Suzanne Vega LIVE - Walk on the Wild Side (bootleg) | Suzanne Vega LIVE - Chambermaid (bootleg) | Suzanne Vega LIVE - The Queen and the Soldier (bootleg) | Suzanne Vega LIVE - Marlene on the Wall (bootleg) | Suzanne Vega LIVE - Tom's Diner (bootleg) | Suzanne Vega LIVE - Luka (bootleg)	
2025-06-13	The Heavy Heavy	Judy Blank	The Atlantis, Washington, DC, USA	https://www.setlist.fm/setlist/the-heavy-heavy/2025/the-atlantis-washington-dc-43467f47.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE-rgw0yfTicqHg7FQpfTs	Playlist (7 videos)	The Heavy Heavy LIVE @ Atlantis (DC) 5/13/25	Hat autographs: Georgie Fuller (of The Heavy Heavy); Judy Blank (w/The Heavy Heavy).
2025-06-15	Sue Foley		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/sue-foley/2025/rams-head-on-stage-annapolis-md-5b443bb4.html		No match		Playlist pulled due to copyright strike by Sue Foley — no videos remain on channel.
2025-06-19	Eric Gales		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/eric-gales/2025/rams-head-on-stage-annapolis-md-7b440278.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLRzshmoohvw5SyewPMRBcf	4 video(s) found	Eric Gales LIVE - closing medley jam: Voodoo Child, Kashmir, Back in Black, Für Elise (bootleg) | Eric Gales LIVE - Too Close to the Fire (bootleg) | Eric Gales LIVE - Instrumental Jam (bootleg) | Eric Gales LIVE - You Don't Know What Love Is (bootleg)	Ram's Head. Closing medley was extraordinary: Voodoo Child / Kashmir / Back in Black / Für Elise all woven together.
2025-06-21	Buddy Guy	"Judith Hill / Christone ""Kingfish"" Ingram"	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/buddy-guy/2025/wolf-trap-farm-park-filene-center-vienna-va-b5a69ae.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI2XFLEzXJSJV_CByZinWW7	6 video(s) found	"Buddy Guy LIVE - Close to You/Got My Mojo Workin (bootleg) | Christone ""Kingfish"" Ingram LIVE - Not Gonna Lie (bootleg) | Christone ""Kingfish"" Ingram LIVE - Fresh Out (bootleg) | Judith Hill LIVE - Wake Up (bootleg) | Judith Hill LIVE - Sun Shower (bootleg) | Judith Hill LIVE - Golden (bootleg)"	Shot primarily Kingfish Ingram and Judith Hill's supporting sets. Buddy Guy closed the show. Shot from Wolf Trap Filene Center.
2025-07-11	North Mississippi Allstars		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/north-mississippi-allstars/2025/rams-head-on-stage-annapolis-md-3345580d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKW6qYwcL6OAURkxZM2bBXg	Playlist (assembled)	North Mississippi All-Stars LIVE - Don't Let the Devil Ride (bootleg) | North Mississippi All-Stars LIVE - Lord Don't Move that Mountain (bootleg) | North Mississippi All-Stars LIVE - Preachin' Blues (Up Jumped the Devil) (bootleg) | North Mississippi All-Stars LIVE - You Got to Move (bootleg) | North Mississippi All-Stars LIVE - Shake 'em on Down (bootleg)	
2025-07-13	J. P. Soars		JV's Live Music Room, Falls Church, VA, USA	https://www.setlist.fm/setlist/j-p-soars/2025/jvs-live-music-room-falls-church-va-2342bc33.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL98faCVXHXqwCbpeLztqWO	Playlist (assembled)	J.P. Soars LIVE - Instrumental (bootleg) | J.P. Soars LIVE - Missin' Your Kissin' (bootleg) | J.P. Soars LIVE - We Gotta Go (bootleg) | J.P. Soars LIVE - Born Under a Bad Sign (bootleg) | J.P. Soars LIVE - Rock Me Baby (bootleg)	
