Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2024-01-13	Jessie's Girl		The Fillmore Silver Spring, Silver Spring, MD, USA	https://www.setlist.fm/setlist/jessies-girl/2024/the-fillmore-silver-spring-silver-spring-md-3baf4454.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK9hWQ61XCZsAylAeeS16Jb	Playlist (9 videos)	Jessie's Girl (80's covers) LIVE @ Fillmore Silver Spring 1/13/24	Shot from the rail and balcony. They covered Journey, Naked Eyes, Michael Jackson, The Cars, and B-52s among many others.
2024-01-20	Kingsley Flood		Millennium Stage, Washington, DC, USA	https://www.setlist.fm/setlist/kingsley-flood/2024/millennium-stage-washington-dc-13acc5f1.html	https://www.youtube.com/live/79R31AnZcrY	Kennedy Center livestream		Full show on Kennedy Center YouTube channel: https://www.youtube.com/live/79R31AnZcrY
2024-02-17	Stevie Nicks	Jessie Baylin	CFG Bank Arena, Baltimore, MD, USA	https://www.setlist.fm/setlist/stevie-nicks/2024/cfg-bank-arena-baltimore-md-4bad8b46.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJcFE5sqT_9vcUWZalieoP9	Playlist (9 videos)	Stevie Nicks LIVE @ Baltimore (CFG Bank Arena 2/17/24)	Mid-floor left center aisle at CFG Bank Arena. She opened with a Buffalo Springfield cover (For What It's Worth). Jessie Baylin supported.
2024-02-20	Eric Gales	Artur Menezes	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/eric-gales/2024/the-hamilton-live-washington-dc-2bade40a.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJdK5OxTfFL4GWBWDqq4rxz	Playlist (6 videos)	Eric Gales LIVE @ Hamilton Live (DC) 2/20/24	Artur Menezes opened and supported throughout. They brought Crown the poodle out from under Ladonna's feet during I Want My Crown. Hat autograph: Poliana 'Pops' Magalhães (w/Artur Menezes Band).
2024-02-21	Brittany Howard	Becca Mancari	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/brittany-howard/2024/930-club-washington-dc-73addae1.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJmG4xyZZvbCuIshBz0YDOW	Playlist (6 videos)	Brittany Howard LIVE @ 9:30 Club (DC) 2/21/24	Stage left balcony at 9:30 Club. She did a short acoustic segment mid-set. Becca Mancari opened.
2024-02-24	Buffalo Nichols		Millennium Stage, Washington, DC, USA	https://www.setlist.fm/setlist/buffalo-nichols/2024/millennium-stage-washington-dc-33ad1499.html	https://www.youtube.com/live/NeWAJJGdUdw	Kennedy Center livestream		Full show on Kennedy Center YouTube channel: https://www.youtube.com/live/NeWAJJGdUdw
2024-02-24	Joe Bonamassa		The Theater at MGM National Harbor, National Harbor, MD, USA	https://www.setlist.fm/setlist/joe-bonamassa/2024/the-theater-at-mgm-national-harbor-national-harbor-md-1bad39a8.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK4BVPC2dM64vnOaegW09jL	Playlist (4 videos)	Joe Bonamassa LIVE @ MGM National Harbor 2/24/24	
2024-02-25	Selwyn Birchwood		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/selwyn-birchwood/2024/the-collective-encore-columbia-md-6bad0afa.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJVT2D2wyr7quX0dlVx6FPB	Playlist (7 videos)	Selwyn Birchwood LIVE @ Collective Encore 2/25/24	Front table at Collective Encore. Opened with a lap steel Saints Go Marching In. Strong set including Nobody Loves Me but my Mother.
2024-03-02	Trombone Shorty & Orleans Avenue	The Soul Rebels	The Event Center at Hollywood Casino, Ranson, WV, USA	https://www.setlist.fm/setlist/trombone-shorty-and-orleans-avenue/2024/the-event-center-at-hollywood-casino-ranson-wv-1bad49ac.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-rUROrCAFQXyv12XRnypG	Playlist (7 videos)	Trombone Shorty & Orleans Avenue LIVE @ Hollywood Casino (WV) 3/2/24	Walked out to Also Sprach Zarathustra (Richard Strauss). Closed with an MC Hammer cover (Turn This Mutha Out). 6th row center. Soul Rebels opened.
2024-03-09	Enter the Haggis		The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/enter-the-haggis/2024/the-hamilton-live-washington-dc-2baaf002.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI_QSHgfR5JfwJeRyIDl6IW	Playlist (8 videos)	Enter the Haggis LIVE @ Hamilton Live (DC) 3/9/24	Trevor Lewington was absent due to a family medical issue — the set list was not as planned. Shot from a front table at Hamilton Live.
2024-03-18	Rhiannon Giddens	Charly Lowry	The Music Center at Strathmore, North Bethesda, MD, USA	https://www.setlist.fm/setlist/rhiannon-giddens/2024/the-music-center-at-strathmore-north-bethesda-md-33aa1425.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIXXPiJ7EZzNXDfS4lMfgqx	Playlist (5 videos)	Rhiannon Giddens LIVE @ Music Center at Strathmore (MD) 3/18/24	Hat autograph: Charly Lowry (w/Rhiannon Giddens).
2024-03-21	Jon Batiste		Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/jon-batiste/2024/warner-theatre-washington-dc-43aa7303.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJuLiT_KdGO02wIRGYMWAHv	Playlist (10 videos)	Jon Batiste LIVE @ Warner Theatre (DC) 3/21/24	Shot on the Spring Equinox from 5th row center. Trombone Shorty made a special unbilled appearance. The drum finale had both bands' tour drummers and Trombone Shorty all on kit simultaneously.
2024-03-30	New York's Finest		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/new-yorks-finest/2024/the-collective-encore-columbia-md-6bab2a96.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKV8dmIhHhH3LRq66gSB9CT	Playlist (8 videos)	New York's Finest (Police tribute) LIVE @ Collective Encore (MD) 3/30/24	Front table at Collective Encore. Grabbed mostly deep cuts, but they did all the hits plus a couple of Sting solo tracks. Cha!
2024-04-10	Shovels & Rope	Al Olender	Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/shovels-and-rope/2024/rams-head-on-stage-annapolis-md-3a8bd97.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIFGFSF-fLwVbEHvIR9g-pK	Playlist (9 videos)	Shovels & Rope LIVE @ Ram's Head (MD) 4/10/24	Hat autograph: Al Olender (w/Shovels & Rope).
2024-04-12	Danielle Nicole	Mallow Hill	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/danielle-nicole/2024/the-hamilton-live-washington-dc-73a8aa89.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKgj5HWpltrn_C4Bgtfs68V	Playlist (10 videos)	Danielle Nicole LIVE @ Hamilton Live 4/12/24	Extended drum solo from Go Go Ray. Also shot Mallow Hill's opening set — first use of the external mic. Hat autograph: Danielle Nicole.
2024-04-13	JJ Grey & Mofro	Judith Hill	The Fillmore Silver Spring, Silver Spring, MD, USA	https://www.setlist.fm/setlist/jj-grey-and-mofro/2024/the-fillmore-silver-spring-silver-spring-md-4ba8af82.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJLdAoc6LBtfOH4gjwK-4l9	Playlist (7 videos)	JJ Grey & Mofro LIVE @ Fillmore Silver Spring (MD) 4/13/24	Shot from the rail. The loud woman next to me had an intense and slightly drunken crush on JJ. Judith Hill opened — she was extraordinary. Hat autograph: Judith Hill.
2024-04-19	Vanessa Collier		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/vanessa-collier/2024/the-collective-encore-columbia-md-13a8e909.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLrF2n1H6TcKZBHpmBGM-WS	Playlist (9 videos)	Vanessa Collier LIVE @ Collective Encore (MD) 4/19/24	Hat autograph: Vanessa Collier.
2024-04-26	Joanne Shaw Taylor		Maryland Theatre, Hagerstown, MD, USA	https://www.setlist.fm/setlist/joanne-shaw-taylor/2024/maryland-theatre-hagerstown-md-53a87761.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLdfcbKWoSJvtjjp2oe9VlD	Playlist (8 videos)	Joanne Shaw Taylor LIVE @ Maryland Theatre (MD) 4/26/24	Hat autograph: Joanne Shaw Taylor.
2024-05-15	Oh He Dead	The North Country	9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/oh-he-dead/2024/930-club-washington-dc-23a90803.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLHAeFlPXKijx2VHSF1TeDy	Playlist (7 videos)	Oh He Dead & The North Country LIVE @ 9:30 Club 5/15/24	Triple bill with The North Country and Wild Child. Stage right balcony at 9:30 Club.
2024-05-16	Sonny Landreth	The Iguanas	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/sonny-landreth/2024/the-hamilton-live-washington-dc-13a9614d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJlmjVUQxN4GKBngP4katI3	Playlist (14 videos)	Sonny Landreth & The Iguanas LIVE @ Hamilton Live (DC) 5/16/24	
2024-06-01	Bonnie Raitt	The James Hunter Six	Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/bonnie-raitt/2024/warner-theatre-washington-dc-3b56d014.html		No match		Still photos only — no video footage.
2024-06-06	Jackie Venson		Color Burst Park, Columbia, MD, USA	https://www.setlist.fm/setlist/jackie-venson/2024/color-burst-park-columbia-md-23565c5f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJnT3CCr-E4JMjgbYldszpN	Playlist (13 videos)	Jackie Venson LIVE @ Color Burst Park (MD) 6/6/24	Hat autograph: Jackie Venson ([#12]).
2024-06-09	Gary Clark Jr.	Free Nationals	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/gary-clark-jr/2024/wolf-trap-farm-park-filene-center-vienna-va-33ab0035.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKgXKH8T7GjfJJu0GmHrxb2	Playlist (8 videos)	Gary Clark Jr. LIVE @ Wolf Trap (VA) 6/9/24	
2024-06-10	John Hiatt	Rebecca Porter	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/john-hiatt/2024/the-birchmere-alexandria-va-3a82537.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGISANJyMAJ1gCg8p5oOmiVM	Playlist (18 videos)	John Hiatt LIVE @ Birchmere 6/10/24	Front table at the Birchmere. He gave a birthday shout out to Wes the guitar tech. Rebecca Porter opened and played throughout the set. Hat autograph: Rebecca Porter (w/John Hiatt).
2024-06-14	Pixies	Cat Power / Modest Mouse	Merriweather Post Pavilion, Columbia, MD, USA	https://www.setlist.fm/setlist/pixies/2024/merriweather-post-pavilion-columbia-md-53ab3f19.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIa_flRON67W-_MVRCRtOeI	Playlist (5 videos)	PIXIES + Modest Mouse + Cat Power LIVE @ Merriweather Post (MD) 6/14/24	Lawn at Merriweather. It rained. Obstructed view — caught some Cat Power, Modest Mouse, and Pixies despite conditions.
2024-06-15	Trombone Shorty & Orleans Avenue	Danielle Ponder / Big Boi	Wolf Trap Farm Park (Filene Center), Vienna, VA, USA	https://www.setlist.fm/setlist/trombone-shorty-and-orleans-avenue/2024/wolf-trap-farm-park-filene-center-vienna-va-5357a3b9.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLRcJ_b6KjSHQoN2MXgWR6m	10 video(s) found	Danielle Ponder LIVE - Some of Us Are Brave (bootleg) | Danielle Ponder LIVE - Creep (bootleg) | Danielle Ponder LIVE - So Long (bootleg) | Danielle Ponder LIVE - Mother's Daughter (bootleg) | Danielle Ponder LIVE - Tears Dry on Their Own (bootleg) | Danielle Ponder LIVE - You'll Never Walk Alone (bootleg) | Trombone Shorty LIVE - In the Middle (bootleg) | Trombone Shorty LIVE - Hurricane Season (bootleg) | Trombone Shorty LIVE - Wind Me Up, Chuck (bootleg) | Trombone Shorty LIVE - Do to Me (bootleg)	Shot primarily Danielle Ponder's opening set — she covered Radiohead (Creep). Also caught the Trombone Shorty second line and a Chuck Berry cover (Wind Me Up, Chuck).
2024-06-16	Shaw Davis & The Black Ties	Soul Miners Union	Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/shaw-davis-and-the-black-ties/2024/rams-head-on-stage-annapolis-md-357a573.html		No match		Microphone technical difficulties — no usable video footage.
2024-06-21	Buffalo Nichols		Jammin Java, Vienna, VA, USA	https://www.setlist.fm/setlist/buffalo-nichols/2024/jammin-java-vienna-va-3357d005.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJwOsdmmjRcGoEYN1sV3c5A	Playlist (14 videos)	Buffalo Nichols LIVE @ Jammin' Java (VA) 06/21/24	Small crowd included two dudes with a talent for standing directly between the camera and the performers. Spencer Tate on mandolin and violin throughout.
2024-06-25	Mikaela Davis	Rich Ruth	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/mikaela-davis/2024/pearl-street-warehouse-washington-dc-3ba9541c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLqwgMrIFdIeFpLjgkwVFdj	Playlist (8 videos)	Mikaela Davis LIVE @ Pearl Street Warehouse 06/25/24	Hat autograph: Mikaela Davis.
2024-06-27	Christone 'Kingfish' Ingram	Mathias Lattin	The Fillmore Silver Spring, Silver Spring, MD, USA	https://www.setlist.fm/setlist/christone-kingfish-ingram/2024/the-fillmore-silver-spring-silver-spring-md-b572dd6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLSwIQC01VwRxLlxqUnZBWz	Playlist (13 videos)	"Christone ""Kingfish"" Ingram LIVE - balcony solo (bootleg) | Christone ""Kingfish"" Ingram LIVE - Empty Promises (bootleg) | Christone ""Kingfish"" Ingram LIVE - Hey Joe (bootleg) | Christone ""Kingfish"" Ingram LIVE - Too Close to the Fire (bootleg) | Christone ""Kingfish"" Ingram LIVE - Feels Like the First Time (bootleg) | Christone ""Kingfish"" Ingram LIVE - One Eye Open (bootleg) | Christone ""Kingfish"" Ingram LIVE - Midnight Heat (bootleg) | Christone ""Kingfish"" Ingram LIVE - I'm Not Done Yet (bootleg) | Christone ""Kingfish"" Ingram LIVE - 662 (bootleg) | Christone ""Kingfish"" Ingram LIVE - Stalker (bootleg) | Christone ""Kingfish"" Ingram LIVE - Long Distance Woman (bootleg) | Christone ""Kingfish"" Ingram LIVE - Love Language (bootleg) | Christone ""Kingfish"" Ingram LIVE - See My Jumper (bootleg)"	
2024-06-29	Joan Jett & The Blackhearts	Alanis Morissette / Morgan Wade	Merriweather Post Pavilion, Columbia, MD, USA	https://www.setlist.fm/setlist/joan-jett-and-the-blackhearts/2024/merriweather-post-pavilion-columbia-md-ba94d2e.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIL7RFtTk_mv4CdOcgXfcXK	14 video(s) found	Joan Jett & the Blackhearts LIVE - Bad Reputation (bootleg) | Joan Jett & the Blackhearts LIVE - I Love Rock and Roll  (bootleg) | Joan Jett & the Blackhearts LIVE - Different (bootleg) | Joan Jett & the Blackhearts LIVE - Crimson and Clover (bootleg) | Joan Jett & the Blackhearts LIVE - Love is Pain (bootleg) | Joan Jett & the Blackhearts LIVE - Cherry Bomb (bootleg) | Alanis Morissette LIVE - Hand in My Pocket (bootleg) | Alanis Morissette LIVE - Right Through You (bootleg) | Alanis Morissette LIVE - Ironic (bootleg) | Alanis Morissette LIVE - You Oughta Know (bootleg) | Alanis Morissette LIVE - Head Over Feet (bootleg) | Morgan Wade LIVE - Wilder Days (bootleg) | Morgan Wade LIVE - Mend (bootleg) | Morgan Wade LIVE - The Night (bootleg)	
2024-07-10	Los Lobos	Chad Hollister	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/los-lobos/2024/the-birchmere-alexandria-va-3babd068.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLGGkKEPx2ZMpqb7clYETJ4	Playlist (7 videos)	Los Lobos LIVE @ Birchmere 7/10/24	"Front table in front of Cesar Rosas. He introduced I Got Loaded with ""we got a deal on quinceañeras right now."" They played Bertha (Grateful Dead) by audience request."
2024-07-18	Tab Benoit & Anders Osborne 	Mike Zito	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/mike-zito/2024/the-birchmere-alexandria-va-3543ddf.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLQ0rQ4vl_o2MwmwbkY9ZGS	Playlist (8 videos)	Tab Benoit & Anders Osborne with Mike Zito LIVE @ Birchmere 7/18/24	Tab dedicated Forever My Love to John Brinegar (1964-2024), despite audience members shouting out Gary Oelze.
2024-07-20	Pretenders		Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/pretenders/2024/warner-theatre-washington-dc-7b542eb4.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLhKMKlX67yv-vqCePMfK67	Playlist (7 videos)	Pretenders LIVE @ Warner Theatre (DC) 07/20/2024	First of two nights at Warner Theatre. Shot from the balcony before the ushers got militant on Chrissie Hynde's behalf.
