Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2024-08-07	Slash	Robert Randolph & The Family Band / Larkin Poe / ZZ Ward	Koka Booth Amphitheatre, Cary, NC, USA	https://www.setlist.fm/setlist/slash/2024/koka-booth-amphitheatre-cary-nc-23a92c9f.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITFWPmAMpvg29Ddt0eOJ8Z	Playlist (18 videos)	Slash S.E.R.P.E.N.T. Festival LIVE Cary, NC 8/7/24	"S.E.R.P.E.N.T. Festival at Koka Booth Amphitheatre — shot from row 4 in the rain. Robert Randolph opened with Eric Gales as an unbilled guest on Foxy Lady (Hendrix cover). ZZ Ward, Larkin Poe, and Slash followed. Rebecca Lovell gave me a personal shout out from the stage for wearing my Bluephoria T-Shirt before they played the song ""just for you"" - I had bought it right away when the song was released and they had spotted me in the VIP entrance line when their tour bus pulled in"
2024-08-23	Sue Foley		The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/sue-foley/2024/the-hamilton-live-washington-dc-b528dca.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKGNIaZgK0JUXFghD2lOzV-	Playlist (5 videos)	Sue Foley LIVE @ Hamilton Live (DC) 8/23/24	Front table at Hamilton Live including some solo acoustic. Four videos were later removed due to a copyright strike claim from Sue Foley herself. Hat autograph: Sue Foley.
2024-09-04	Walter Trout		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/walter-trout/2024/rams-head-on-stage-annapolis-md-13521d7d.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKfeAkck2WbpOlrNgDuG5dY	Playlist (3 videos)	Walter Trout LIVE @ Ram's Head (MD) 9/4/24	His tribute to John Mayall was Say Goodbye to the Blues. Band: Micheal Leasure (drums), John Avila (bass), Richard T Bear (keyboards), Brett Smith Daniels (guitar).
2024-09-07	Kingsley Flood	The Beanstalk Library	Pearl Street Warehouse, Washington, DC, USA	https://www.setlist.fm/setlist/kingsley-flood/2024/pearl-street-warehouse-washington-dc-5b525ffc.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJJApKUiWmOTWChNiQRkZtc	Playlist (10 videos)	Kingsley Flood LIVE @ Pearl Street Warehouse (DC) 9/7/24	Beanstalk Library opened with a Stevie Nicks cover (Stop Draggin' My Heart Around). Kingsley played a Clash cover (Career Opportunities). Shot from the balcony.
2024-09-08	Vanessa Collier		Rams Head On Stage, Annapolis, MD, USA	https://www.setlist.fm/setlist/vanessa-collier/2024/rams-head-on-stage-annapolis-md-3524d03.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL_urhBlAaFymtZnIz9emb6	Playlist (5 videos)	Vanessa Collier LIVE @ Rams Head (MD) 9/8/24	She premiered a then-unreleased track (Take Me Back). Tongue Tied was played by audience request. Hat autograph: Laura Chavez (w/Vanessa Collier).
2024-09-12	Shawn James		Black Cat (Mainstage), Washington, DC, USA	https://www.setlist.fm/setlist/shawn-james/2024/black-cat-mainstage-washington-dc-3b53a010.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJyGnk6gREOypsrCxohHV0c	Playlist (6 videos)	Shawn James LIVE @ The Black Cat (DC) 9/12/24	
2024-09-18	Selwyn Birchwood	Carly Harvey	The Vault at Capital One Hall, Tysons Corner, VA, USA	https://www.setlist.fm/setlist/selwyn-birchwood/2024/the-vault-at-capital-one-hall-tysons-corner-va-353f59b.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL3rMKdh0de7S68Z2dP2YBu	Playlist (10 videos)	Selwyn Birchwood LIVE @ the Vault at Capital One Hall 9/18/24	Front row at The Vault. Carly Harvey opened and covered Fiona Apple (Misery). Selwyn's Saints Go Marching In extended jam was extraordinary. Hat autograph: Carly Harvey (w/Selwyn Birchwood).
2024-09-19	Marcus King	Brittney Spencer	Warner Theatre, Washington, DC, USA	https://www.setlist.fm/setlist/brittney-spencer/2024/warner-theatre-washington-dc-353f187.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYcbx20Js2RW2kdrs_db59	4 video(s) found	Marcus King LIVE - Homesick (bootleg) | Marcus King LIVE - Virginia (bootleg) | Marcus King LIVE - Confessions (bootleg) | Marcus King LIVE - Ramblin' Man (bootleg)	He opened with a Jimmy Cliff quote (Many Rivers to Cross) and closed with an Allman Brothers cover (Ramblin' Man) as the encore.
2024-09-25	Suzanne Vega		The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/suzanne-vega/2024/the-birchmere-alexandria-va-33532419.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIgNjgQlo9xO44zF9N26kpc	Playlist (19 videos)	Suzanne Vega LIVE @ Birchmere 9/25/24	Hat autograph: Suzanne Vega.
2024-09-28	Soul Coughing		9:30 Club, Washington, DC, USA	https://www.setlist.fm/setlist/soul-coughing/2024/930-club-washington-dc-1b5761fc.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKJath7-jUYRE2EuuNFRgU7	Playlist (7 videos)	Soul Coughing LIVE - Blue Eyed Devil (bootleg) | Soul Coughing LIVE - Casiotone Nation (bootleg) | Soul Coughing LIVE - True Dreams of Wichita (bootleg) | Soul Coughing LIVE - Screenwriter's Blues (bootleg) | Soul Coughing LIVE - Bus to Beelzebub (bootleg) | Soul Coughing LIVE - Super Bon Bon (bootleg) | Soul Coughing LIVE - Unmarked Helicopters (bootleg)	
2024-10-03	The Lone Bellow	Taylor Ashton	The Birchmere, Alexandria, VA, USA	https://www.setlist.fm/setlist/the-lone-bellow/2024/the-birchmere-alexandria-va-3b50bc4c.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJBpcSRwOfciHwhbssMAyAR	Playlist (12 videos)	The Lone Bellow LIVE - Homesick (bootleg) | The Lone Bellow LIVE - Cost of Living (bootleg) | The Lone Bellow LIVE - Slip Slidin' Away (bootleg) | The Lone Bellow LIVE - Marietta (bootleg) | The Lone Bellow LIVE - Time's Always Leaving (bootleg) | The Lone Bellow LIVE - Then Came the Morning (bootleg) | The Lone Bellow LIVE - Two Sides of Every Story (bootleg) | The Lone Bellow LIVE - Keep it Together (bootleg) | The Lone Bellow LIVE - Dried Up River (bootleg) | Taylor Ashton LIVE - Carry On (bootleg) | Taylor Ashton LIVE - Millbrook (bootleg) | Taylor Ashton LIVE - Better Times (bootleg)	Tyson's Corner Mall jingle and Spotsylvania Mall jingle between songs. They covered Paul Simon (Slip Slidin' Away) and riffed on Ventura Highway during tuning.
2024-10-05	Valerie June		Publick Playhouse, Landover, MD, USA	https://www.setlist.fm/setlist/valerie-june/2024/publick-playhouse-landover-md-5b50a358.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKDkeWVTzCEMe0xJv0cd9SQ	Playlist (8 videos)	Valerie June LIVE @ Publick Playhouse (MD) 10/5/24	Front row at Publick Playhouse. Several track titles I couldn't identify — posted on YouTube asking for help. Hat autograph: Valerie June.
2024-10-08	Talia Segal	Alexia Gabriella / Antoñio Villaronga / Bev Stanton / Christian Crowley / Damien Bethel / Erin Frisby / Jasper Hobbs / Juels Bland / Lou Black / Mx. Mundy / Nina Goodman / Rebecca Berlin / Robzie Trulove / Safety Bear / Sanjay Arora / Sea Griffin / Wytold	DC9, Washington, DC, USA		No match		Why Don't We Duet? — benefit concert for the Potter's House Pay It Forward program. 18 local musicians paired by Tarot card (Dame Darcy's Mermaid Deck) into 9 duos, each writing and debuting a new song. $15 at the door, 7:30–11:30 PM. Talia was paired with Nina Goodman (keyboardist/singer, DC Music Review writer) — they both drew the Knight of Pentacles. They were the first duo announced on social media but not the first to perform. Their song was about the joy of being a dog — there was both joy and actual barking in it. Afterwards Talia was so disappointed in her voice (due to cancer treatments) that she asked me not to post the bootleg video I took. Hat autograph: Talia Segal (RIP).	Why Don't We Duet? — benefit concert for the Potter's House Pay It Forward program. 18 local musicians paired by Tarot card (Dame Darcy's Mermaid Deck) into 9 duos, each writing and debuting a new song. $15 at the door, 7:30–11:30 PM. Talia was paired with Nina Goodman (keyboardist/singer, DC Music Review writer) — they both drew the Knight of Pentacles. They were the first duo announced on social media but not the first to perform. Their song was about the joy of being a dog — there was both joy and actual barking in it. Afterwards Talia was so disappointed in her voice (due to cancer treatments) that she asked me not to post the bootleg video I took. Hat autograph: Talia Segal (RIP).
2024-10-09	Vanessa Collier	Sweet Leda	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/vanessa-collier/2024/the-hamilton-live-washington-dc-7b5096dc.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLUOdXZexCDUO1vE67aFAbK	Playlist (10 videos)	Vanessa Collier LIVE @ Hamilton Live (DC) 10/9/24	
2024-10-13	Jake Xerxes Fussell	David Moore	Songbyrd Music House, Washington, DC, USA	https://www.setlist.fm/setlist/jake-xerxes-fussell/2024/songbyrd-music-house-washington-dc-6b50e2b6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLB0r3UiSx-6PQ6_skRE4dB	Playlist (5 videos)	Jake Xerxes Fussell LIVE @ Songbyrd Music House (DC) 10/13/24	He opened with a Duke Ellington cover (Jump for Joy) and noted that Duke Ellington was a District native. David Moore supported. Carter Family, Duke Ellington, and traditional covers throughout.
2024-10-16	Ana Popović	Carly Harvey	The Hamilton Live, Washington, DC, USA	https://www.setlist.fm/setlist/ana-popovi/2024/the-hamilton-live-washington-dc-2b500482.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxh-vqodYy5l2HAY-Cg3je	Playlist (5 videos)	Ana Popović LIVE @ Hamilton Live (DC) 10/16/24	Hat autograph: Ana Popović.2024-10-19
2024-11-08	Albert Cummings		The Collective Encore, Columbia, MD, USA	https://www.setlist.fm/setlist/albert-cummings/2024/the-collective-encore-columbia-md-235ebcf3.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKBKQzNYJqGCYaL5V4TJ9C9	Playlist (6 videos)	Albert Cummings LIVE @ Collective Encore (MD) 11/8/24	
2024-11-09	Jake Blount		Millennium Stage, Washington, DC, USA	https://www.setlist.fm/setlist/jake-blount/2024/millennium-stage-washington-dc-135eb171.html	https://www.youtube.com/live/9-vDzbKrb-Y	Kennedy Center livestream	Jake Blount & Mali Obomsawin LIVE - In The Garden (bootleg) | Jake Blount & Mali Obomsawin LIVE - Hard Times Killing Floor Blues (bootleg)	With Mali Obomsawin at Kennedy Center Millennium Stage. Covered Sister Rosetta Thorpe and Skip James. Full set on the Kennedy Center YouTube channel. Full show on Kennedy Center YouTube channel: https://www.youtube.com/live/9-vDzbKrb-Y Hat autograph: Mali Obomsawin (co-bill w/Jake Blount).
